BLDGCL,TAXCLASS,LTFRONT,LTDEPTH,EXT,STORIES,FULLVAL,AVLAND,AVTOT,EXLAND,EXTOT,EXCD1,BLDFRONT,BLDDEPTH,AVLAND2,AVTOT2,EXLAND2,EXTOT2,YEAR,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,NTA,OWNER_RICHNESS,BIN_POPULARNESS,LTFRONT_WAS_NAN,LTDEPTH_WAS_NAN,STORIES_WAS_NAN,EXLAND_WAS_NAN,EXTOT_WAS_NAN,BLDFRONT_WAS_NAN,BLDDEPTH_WAS_NAN,AVLAND2_WAS_NAN,AVTOT2_WAS_NAN,EXLAND2_WAS_NAN,EXTOT2_WAS_NAN,Latitude_WAS_NAN,Longitude_WAS_NAN
B2,1,20.0,100.0,EG,2.0,407000,10776,18987,1470.0,1470.0,1017.0,16.0,38.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.682297,-73.8636,409.0 category,32.0 category,36.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
B2,1,28.0,129.0,nan_val,2.0,814000,14129,37584,3210.0,3210.0,1017.0,20.0,52.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.6915,-73.849933,409.0 category,32.0 category,20.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A0,1,40.0,100.0,nan_val,1.5,600000,15684,33729,98540.41012852485,335868.59502753214,nan_val,25.0,37.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.750942,-73.703528,413.0 category,23.0 category,157901.0 category,Glen Oaks-Floral Park-New Hyde Park,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
B3,1,40.0,100.0,G,2.0,696000,12988,33984,98540.41012852485,335868.59502753214,nan_val,22.0,44.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.696657,-73.854159,409.0 category,32.0 category,14.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
A2,1,34.0,100.0,nan_val,1.0,671000,12845,37803,1470.0,1470.0,1017.0,29.0,44.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.761261,-73.727505,411.0 category,23.0 category,152902.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A2,1,40.0,100.0,G,1.0,740000,14935,40335,14935.0,23378.0,1015.0,26.0,52.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.763638,-73.721738,411.0 category,23.0 category,152902.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
S2,1,20.0,98.0,nan_val,3.0,964000,10595,36219,98540.41012852485,335868.59502753214,nan_val,20.0,58.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.693326,-73.853045,409.0 category,32.0 category,18.0 category,Woodhaven,poor,not popular,0,0,0,1,1,0,0,1,1,1,1,0,0
C6,2,604.0,357.0,nan_val,2.0,9169000,1282500,4126050,395488.0,395488.0,1010.0,100.0,200.0,1282500.0,3362410.0,368827.0,368827.0,2017/18,QUEENS,40.755795,-73.728185,411.0 category,23.0 category,152902.0 category,Douglas Manor-Douglaston-Little Neck,poor,not popular,0,0,0,0,0,0,0,0,0,0,0,0,0
A9,1,25.0,100.0,nan_val,2.0,553000,8308,20420,1470.0,1470.0,1017.0,18.0,41.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.68713,-73.861002,409.0 category,30.0 category,6.0 category,Woodhaven,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
A5,1,25.0,100.0,nan_val,2.0,441000,12777,25848,1470.0,1470.0,1017.0,16.0,28.0,263137.93891102256,1090139.6525896415,417960.1818181818,1008947.8133408072,2017/18,QUEENS,40.743881,-73.720615,413.0 category,23.0 category,157101.0 category,Bellerose,poor,not popular,0,0,0,0,0,0,0,1,1,1,1,0,0
